Season,Strategy,Condition,Item,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,Mirror,Negative,SE,0,0.545664,1.13244,1.1874,1.19477,1.41374,1.41095,1.38959,1.63678,1.63328,1.61979,1.85527,1.86408,1.85556,2.04172,2.04452,2.03414,2.1761,2.17518,2.16586,2.17868,2.16758,2.14997,2.21852,2.2167,2.20749,2.22941,2.2157,2.18841,2.23432
2,Mirror,Positive,M,406,407.435,618.336,620.258,628.496,750.8,749.277,755.112,849.447,846.044,849.208,921.005,915.404,917.11,961.537,954.531,953.697,976.838,969.628,967.127,981.648,974.285,971.915,983.219,975.426,972.772,983.789,976.203,974.169,983.859
2,Mirror,Positive,SE,0,0.540242,1.17433,1.23155,1.245,1.0598,1.11695,1.14724,1.23357,1.27244,1.29167,1.08171,1.10178,1.08226,0.718207,0.732317,0.723101,0.422831,0.452782,0.455092,0.256543,0.316376,0.339256,0.19885,0.270498,0.306251,0.178791,0.248023,0.280911,0.175161
3,Directional,Asocial,M,280,282.531,289.045,300.668,315.171,332.194,349.148,368.005,387.437,406.907,426.677,447.161,466.789,486.765,506.555,525.902,545.298,564.201,583.238,601.314,619.035,635.796,652.021,667.496,682.233,696.494,710.069,722.607,734.059,745.364
3,Directional,Asocial,SE,0,0.356651,0.506846,0.616513,0.690055,0.745983,0.781871,0.817765,0.84561,0.875498,0.916188,0.959203,1.01385,1.07895,1.14245,1.202,1.25849,1.30774,1.34712,1.37801,1.4046,1.42224,1.42976,1.43795,1.43585,1.43333,1.43795,1.44207,1.43953,1.44185
3,Directional,Negative,M,280,282.359,301.588,322.309,343.337,364.503,386.038,407.719,428.349,449.309,470.812,491.109,511.927,533.634,554.183,575.827,597.742,617.427,639.059,660.625,679.274,699.443,720.388,738.069,756.042,774.9,789.873,806.265,822.601,834.955
3,Directional,Negative,SE,0,0.352523,0.437539,0.50104,0.547053,0.573909,0.598239,0.628666,0.669605,0.716921,0.774129,0.845712,0.912937,0.987859,1.05113,1.10432,1.15625,1.19465,1.21731,1.23504,1.24371,1.24894,1.25164,1.26073,1.25958,1.25814,1.25745,1.24754,1.23825,1.22552
3,Directional,Positive,M,280,282.211,301.796,322.84,343.175,365.316,386.591,408.38,429.713,451.375,472.928,495.12,516.529,538.749,560.875,582.579,604.312,625.545,647.177,668.41,689.715,710.069,729.464,748.617,766.772,784.499,801.316,817.62,832.926,847.137
3,Directional,Positive,SE,0,0.352985,0.437441,0.500735,0.545612,0.577515,0.60387,0.623445,0.658831,0.70544,0.762813,0.833203,0.900426,0.972186,1.03806,1.09466,1.14378,1.18218,1.20779,1.22788,1.23528,1.23972,1.24574,1.23889,1.24486,1.23722,1.2295,1.21573,1.21173,1.1942
3,Move,Asocial,M,280,282.531,289.045,300.668,315.171,332.194,349.148,368.005,387.437,406.907,426.677,447.161,466.789,486.765,506.555,525.902,545.298,564.201,583.238,601.314,619.035,635.796,652.021,667.496,682.233,696.494,710.069,722.607,734.059,745.364
